Id,name,名称,sub_tech,tactic,url
T1397,Spearphishing for Information,钓鱼式钓鱼获取信息,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1397/
T1398,Modify OS Kernel or Boot Partition,修改操作系统内核或引导分区,"APP-26,,APP-27","Defense Evasion,                                                    Persistence",https://attack.mitre.org/techniques/TT1398/
T1399,Modify Trusted Execution Environment,修改可信执行环境,APP-27,"Defense Evasion,                                                    Persistence",https://attack.mitre.org/techniques/TT1399/
T1396,Obtain booter/stressor subscription,获得启动/压力源订阅,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1396/
T1394,Distribute malicious software development tools,分发恶意软件开发工具,,Stage Capabilities,https://attack.mitre.org/techniques/TT1394/
T1393,Test ability to evade automated mobile application security analysis performed by app stores,测试规避应用商店执行的自动移动应用程序安全分析的能力,,Test Capabilities,https://attack.mitre.org/techniques/TT1393/
T1389,Identify vulnerabilities in third-party software libraries,识别第三方软件库中的漏洞,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1389/
T1391,Choose pre-compromised mobile app developer account credentials or signing keys,选择预泄露的移动应用程序开发人员帐户凭据或签名密钥,,Persona Development,https://attack.mitre.org/techniques/TT1391/
T1390,OS-vendor provided communication channels,OS供应商提供的通信通道,,Adversary Opsec,https://attack.mitre.org/techniques/TT1390/
T1392,Obtain Apple iOS enterprise distribution key pair and certificate,获取Apple iOS企业分发密钥对和证书,,Persona Development,https://attack.mitre.org/techniques/TT1392/
T1379,Disseminate removable media,传播可移动媒体,,Stage Capabilities,https://attack.mitre.org/techniques/TT1379/
T1364,Friend/Follow/Connect to targets of interest,朋友/关注/联系感兴趣的目标,,Stage Capabilities,https://attack.mitre.org/techniques/TT1364/
T1365,Hardware or software supply chain implant,硬件或软件供应链植入,,Stage Capabilities,https://attack.mitre.org/techniques/TT1365/
T1363,Port redirector,端口重定向器,,Stage Capabilities,https://attack.mitre.org/techniques/TT1363/
T1361,Test signature detection for file upload/email filters,测试文件上传/电子邮件过滤器的签名检测,,Test Capabilities,https://attack.mitre.org/techniques/TT1361/
T1362,"Upload, install, and configure software/tools",上载、安装和配置软件/工具,,Stage Capabilities,https://attack.mitre.org/techniques/TT1362/
T1358,Review logs and residual traces,查看日志和残余痕迹,,Test Capabilities,https://attack.mitre.org/techniques/TT1358/
T1359,Test malware to evade detection,测试恶意软件以逃避检测,,Test Capabilities,https://attack.mitre.org/techniques/TT1359/
T1360,Test physical access,测试物理访问,,Test Capabilities,https://attack.mitre.org/techniques/TT1360/
T1357,Test malware in various execution environments,在各种执行环境中测试恶意软件,,Test Capabilities,https://attack.mitre.org/techniques/TT1357/
T1354,Compromise 3rd party or closed-source vulnerability/exploit information,危害第三方或封闭源漏洞/利用信息,,Build Capabilities,https://attack.mitre.org/techniques/TT1354/
T1353,Post compromise tool development,折衷后工具开发,,Build Capabilities,https://attack.mitre.org/techniques/TT1353/
T1352,C2 protocol development,C2协议开发,,Build Capabilities,https://attack.mitre.org/techniques/TT1352/
T1356,Test callback functionality,测试回调功能,,Test Capabilities,https://attack.mitre.org/techniques/TT1356/
T1355,Create infected removable media,创建受感染的可移动媒体,,Build Capabilities,https://attack.mitre.org/techniques/TT1355/
T1351,Remote access tool development,远程访问工具开发,,Build Capabilities,https://attack.mitre.org/techniques/TT1351/
T1346,Obtain/re-use payloads,获取/重复使用有效载荷,,Build Capabilities,https://attack.mitre.org/techniques/TT1346/
T1347,Build and configure delivery systems,构建和配置交付系统,,Build Capabilities,https://attack.mitre.org/techniques/TT1347/
T1348,Identify resources required to build capabilities,确定构建能力所需的资源,,Build Capabilities,https://attack.mitre.org/techniques/TT1348/
T1349,Build or acquire exploits,建立或获取利用,,Build Capabilities,https://attack.mitre.org/techniques/TT1349/
T1350,Discover new exploits and monitor exploit-provider forums,发现新的漏洞攻击并监视漏洞提供程序论坛,,Build Capabilities,https://attack.mitre.org/techniques/TT1350/
T1343,Choose pre-compromised persona and affiliated accounts,选择预先受损的角色和关联帐户,,Persona Development,https://attack.mitre.org/techniques/TT1343/
T1345,Create custom payloads,创建自定义有效载荷,,Build Capabilities,https://attack.mitre.org/techniques/TT1345/
T1342,Develop social network persona digital footprint,发展社交网络人物数字足迹,,Persona Development,https://attack.mitre.org/techniques/TT1342/
T1344,Friend/Follow/Connect to targets of interest,朋友/关注/联系感兴趣的目标,,Persona Development,https://attack.mitre.org/techniques/TT1344/
T1341,Build social network persona,构建社交网络人物,,Persona Development,https://attack.mitre.org/techniques/TT1341/
T1340,Shadow DNS,阴影DNS,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1340/
T1339,Create backup infrastructure,创建备份基础架构,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1339/
T1337,SSL certificate acquisition for domain,域的SSL证书获取,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1337/
T1338,SSL certificate acquisition for trust breaking,信任破坏的SSL证书获取,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1338/
T1335,Procure required equipment and software,采购所需设备和软件,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1335/
T1331,Obfuscate infrastructure,混淆基础设施,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1331/
T1333,Dynamic DNS,动态DNS,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1333/
T1332,Acquire or compromise 3rd party signing certificates,获取或泄露第三方签名证书,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1332/
T1330,Acquire and/or use 3rd party software services,获取和/或使用第三方软件服务,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1330/
T1334,Compromise 3rd party infrastructure to support delivery,妥协第三方基础设施，以支持交付,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1334/
T1336,"Install and configure hardware, network, and systems",安装和配置硬件、网络和系统,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1336/
T1328,Buy domain name,购买域名,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1328/
T1329,Acquire and/or use 3rd party infrastructure services,获取和/或使用第三方基础设施服务,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1329/
T1321,"Common, high volume protocols and software",通用、高容量协议和软件,,Adversary Opsec,https://attack.mitre.org/techniques/TT1321/
T1326,Domain registration hijacking,域名注册劫持,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1326/
T1327,Use multiple DNS infrastructures,使用多个DNS基础结构,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1327/
T1322,Misattributable credentials,错误的凭证,,Adversary Opsec,https://attack.mitre.org/techniques/TT1322/
T1319,Obfuscate or encrypt code,混淆或加密代码,,Adversary Opsec,https://attack.mitre.org/techniques/TT1319/
T1320,Data Hiding,数据隐藏,,Adversary Opsec,https://attack.mitre.org/techniques/TT1320/
T1318,Obfuscate operational infrastructure,混淆操作基础设施,,Adversary Opsec,https://attack.mitre.org/techniques/TT1318/
T1316,Non-traditional or less attributable payment options,非传统或较少归属的付款选择,,Adversary Opsec,https://attack.mitre.org/techniques/TT1316/
T1317,Secure and protect infrastructure,保护和保护基础设施,,Adversary Opsec,https://attack.mitre.org/techniques/TT1317/
T1313,Obfuscation or cryptography,混淆或加密,,Adversary Opsec,https://attack.mitre.org/techniques/TT1313/
T1315,Network-based hiding techniques,基于网络的隐藏技术,,Adversary Opsec,https://attack.mitre.org/techniques/TT1315/
T1310,Acquire or compromise 3rd party signing certificates,获取或泄露第三方签名证书,,Adversary Opsec,https://attack.mitre.org/techniques/TT1310/
T1312,Compromise 3rd party infrastructure to support delivery,妥协第三方基础设施以支持交付,,Adversary Opsec,https://attack.mitre.org/techniques/TT1312/
T1311,Dynamic DNS,动态DNS,,Adversary Opsec,https://attack.mitre.org/techniques/TT1311/
T1314,Host-based hiding techniques,基于主机的隐藏技术,,Adversary Opsec,https://attack.mitre.org/techniques/TT1314/
T1307,Acquire and/or use 3rd party infrastructure services,获取和/或使用第三方基础设施服务,,Adversary Opsec,https://attack.mitre.org/techniques/TT1307/
T1306,Anonymity services,匿名服务,,Adversary Opsec,https://attack.mitre.org/techniques/TT1306/
T1308,Acquire and/or use 3rd party software services,获取和/或使用第三方软件服务,,Adversary Opsec,https://attack.mitre.org/techniques/TT1308/
T1305,Private whois services,私人whois服务,,Adversary Opsec,https://attack.mitre.org/techniques/TT1305/
T1309,Obfuscate infrastructure,混淆基础设施,,Adversary Opsec,https://attack.mitre.org/techniques/TT1309/
T1301,Analyze business processes,分析业务流程,,Organizational Weakness Identification,https://attack.mitre.org/techniques/TT1301/
T1304,Proxy/protocol relays,代理/协议继电器,,Adversary Opsec,https://attack.mitre.org/techniques/TT1304/
T1300,Analyze organizational skillsets and deficiencies,分析组织技能和不足,,Organizational Weakness Identification,https://attack.mitre.org/techniques/TT1300/
T1302,Assess security posture of physical locations,评估物理位置的安全态势,,Organizational Weakness Identification,https://attack.mitre.org/techniques/TT1302/
T1303,Analyze presence of outsourced capabilities,分析外包能力的存在,,Organizational Weakness Identification,https://attack.mitre.org/techniques/TT1303/
T1299,Assess opportunities created by business deals,评估商业交易创造的机会,,Organizational Weakness Identification,https://attack.mitre.org/techniques/TT1299/
T1298,Assess vulnerability of 3rd party vendors,评估第三方供应商的脆弱性,,Organizational Weakness Identification,https://attack.mitre.org/techniques/TT1298/
T1296,Assess targeting options,评估目标选项,,People Weakness Identification,https://attack.mitre.org/techniques/TT1296/
T1297,Analyze organizational skillsets and deficiencies,分析组织技能和不足,,People Weakness Identification,https://attack.mitre.org/techniques/TT1297/
T1294,Analyze hardware/software security defensive capabilities,分析硬件/软件安全防御能力,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1294/
T1295,"Analyze social and business relationships, interests, and affiliations",分析社会和商业关系、兴趣和从属关系,,People Weakness Identification,https://attack.mitre.org/techniques/TT1295/
T1293,Analyze application security posture,分析应用程序安全态势,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1293/
T1292,Test signature detection,测试签名检测,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1292/
T1289,Analyze organizational skillsets and deficiencies,分析组织技能和不足,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1289/
T1288,Analyze architecture and configuration posture,分析架构和配置姿态,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1288/
T1287,Analyze data collected,分析收集的数据,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1287/
T1291,Research relevant vulnerabilities/CVEs,研究相关漏洞/CVE,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1291/
T1290,Research visibility gap of security vendors,研究安全厂商的可视性差距,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1290/
T1286,Dumpster dive,垃圾桶跳水,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1286/
T1285,Determine centralization of IT management,确定IT管理的集中化,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1285/
T1284,Determine 3rd party infrastructure services,确定第三方基础设施服务,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1284/
T1283,Identify business relationships,确定业务关系,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1283/
T1281,Obtain templates/branding materials,获取模板/品牌材料,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1281/
T1282,Determine physical locations,确定物理位置,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1282/
T1279,Conduct social engineering,进行社会工程,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1279/
T1278,Identify job postings and needs/gaps,确定职位和需求/差距,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1278/
T1280,Identify business processes/tempo,确定业务流程/节奏,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1280/
T1277,Acquire OSINT data sets and information,获取OSINT数据集和信息,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1277/
T1276,Identify supply chains,确定供应链,,Organizational Information Gathering,https://attack.mitre.org/techniques/TT1276/
T1275,Aggregate individual's digital footprint,个人数字足迹合计,,People Information Gathering,https://attack.mitre.org/techniques/TT1275/
T1274,Identify sensitive personnel information,识别敏感的人员信息,,People Information Gathering,https://attack.mitre.org/techniques/TT1274/
T1273,Mine social media,矿山社交媒体,,People Information Gathering,https://attack.mitre.org/techniques/TT1273/
T1272,Identify business relationships,确定业务关系,,People Information Gathering,https://attack.mitre.org/techniques/TT1272/
T1271,Identify personnel with an authority/privilege,确定具有权限/特权的人员,,People Information Gathering,https://attack.mitre.org/techniques/TT1271/
T1270,Identify groups/roles,确定组/角色,,People Information Gathering,https://attack.mitre.org/techniques/TT1270/
T1267,Identify job postings and needs/gaps,确定工作岗位和需求/差距,,People Information Gathering,https://attack.mitre.org/techniques/TT1267/
T1269,Identify people of interest,确定感兴趣的人,,People Information Gathering,https://attack.mitre.org/techniques/TT1269/
T1266,Acquire OSINT data sets and information,获取OSIT数据集和信息,,People Information Gathering,https://attack.mitre.org/techniques/TT1266/
T1268,Conduct social engineering,进行社会工程,,People Information Gathering,https://attack.mitre.org/techniques/TT1268/
T1265,Identify supply chains,确定供应链,,People Information Gathering,https://attack.mitre.org/techniques/TT1265/
T1264,Identify technology usage patterns,识别技术使用模式,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1264/
T1263,Identify security defensive capabilities,识别安全防御能力,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1263/
T1262,Enumerate client configurations,枚举客户端配置,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1262/
T1260,Determine 3rd party infrastructure services,确定第三方基础设施服务,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1260/
T1257,Mine technical blogs/forums,矿山技术博客/论坛,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1257/
T1261,"Enumerate externally facing software applications technologies, languages, and dependencies",列举面向外部的软件应用程序技术、语言和依赖关系,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1261/
T1259,Determine external network trust dependencies,确定外部网络信任依赖项,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1259/
T1258,Determine firmware version,确定固件版本,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1258/
T1255,Discover target logon/email address format,发现目标登录/电子邮件地址格式,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1255/
T1254,Conduct active scanning,进行主动扫描,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1254/
T1252,Map network topology,映射网络拓扑,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1252/
T1251,Obtain domain/IP registration information,获取域/IP注册信息,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1251/
T1253,Conduct passive scanning,进行被动扫描,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1253/
T1250,Determine domain and IP address space,确定域和IP地址空间,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1250/
T1249,Conduct social engineering,进行社会工程,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1249/
T1256,Identify web defensive services,确定web防御服务,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1256/
T1248,Identify job postings and needs/gaps,确定职位和需求/差距,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1248/
T1244,Determine secondary level tactical element,确定二级战术要素,,Target Selection,https://attack.mitre.org/techniques/TT1244/
T1247,Acquire OSINT data sets and information,获取OSINT数据集和信息,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1247/
T1246,Identify supply chains,确定供应链,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1246/
T1242,Determine operational element,确定操作要素,,Target Selection,https://attack.mitre.org/techniques/TT1242/
T1245,Determine approach/attack vector,确定进近/攻击矢量,,Target Selection,https://attack.mitre.org/techniques/TT1245/
T1243,Determine highest level tactical element,确定最高级别的战术要素,,Target Selection,https://attack.mitre.org/techniques/TT1243/
T1241,Determine strategic target,确定战略目标,,Target Selection,https://attack.mitre.org/techniques/TT1241/
T1240,Task requirements,任务要求,,Priority Definition Direction,https://attack.mitre.org/techniques/TT1240/
T1239,Receive KITs/KIQs and determine requirements,接收套件/KIQ并确定需求,,Priority Definition Direction,https://attack.mitre.org/techniques/TT1239/
T1236,"Assess current holdings, needs, and wants",评估当前持有量、需求和需求,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1236/
T1238,"Assign KITs, KIQs, and/or intelligence requirements",分配套件、KIQ和/或情报要求,,Priority Definition Direction,https://attack.mitre.org/techniques/TT1238/
T1233,Identify analyst level gaps,确定分析师层面的差距,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1233/
T1235,Receive operator KITs/KIQs tasking,接收操作员工具包/KIQ任务,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1235/
T1232,Create implementation plan,制定实施计划,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1232/
T1237,"Submit KITs, KIQs, and intelligence requirements",提交套件、KIQ和情报要求,,Priority Definition Direction,https://attack.mitre.org/techniques/TT1237/
T1234,Generate analyst intelligence requirements,生成分析师情报需求,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1234/
T1231,Create strategic plan,制定战略计划,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1231/
T1228,Assign KITs/KIQs into categories,将套件/KIQ分类,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1228/
T1227,Develop KITs/KIQs,开发工具包/KIQ,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1227/
T1230,Derive intelligence requirements,导出情报需求,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1230/
T1229,Assess KITs/KIQs benefits,评估套件/KIQ效益,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1229/
T1226,Conduct cost/benefit analysis,进行成本/效益分析,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1226/
T1225,Identify gap areas,确定差距区域,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1225/
T1222,File and Directory Permissions Modification,文件和目录权限修改,"T1222.001,T1222.002",Defense Evasion,https://attack.mitre.org/techniques/TT1222/
T1220,XSL Script Processing,XSL脚本处理,,Defense Evasion,https://attack.mitre.org/techniques/TT1220/
T1221,Template Injection,模板注入,,Defense Evasion,https://attack.mitre.org/techniques/TT1221/
T1224,Assess leadership areas of interest,评估感兴趣的领导领域,,Priority Definition Planning,https://attack.mitre.org/techniques/TT1224/
T1218,Signed Binary Proxy Execution,签名二进制代理执行,"T1218.001,T1218.002,T1218.003,T1218.004,T1218.005,T1218.007,T1218.008,T1218.009,T1218.010,T1218.011",Defense Evasion,https://attack.mitre.org/techniques/TT1218/
T1219,Remote Access Software,远程访问软件,,Command And Control,https://attack.mitre.org/techniques/TT1219/
T1217,Browser Bookmark Discovery,浏览器书签发现,,Discovery,https://attack.mitre.org/techniques/TT1217/
T1216,Signed Script Proxy Execution,签名脚本代理执行,T1216.001,Defense Evasion,https://attack.mitre.org/techniques/TT1216/
T1213,Data from Information Repositories,信息存储库中的数据,"T1213.001,T1213.002",Collection,https://attack.mitre.org/techniques/TT1213/
T1211,Exploitation for Defense Evasion,为逃避防卫而剥削,,Defense Evasion,https://attack.mitre.org/techniques/TT1211/
T1212,Exploitation for Credential Access,利用凭据访问,,Credential Access,https://attack.mitre.org/techniques/TT1212/
T1210,Exploitation of Remote Services,远程服务的开发,,Lateral Movement,https://attack.mitre.org/techniques/TT1210/
T1207,Rogue Domain Controller,恶意域控制器,,Defense Evasion,https://attack.mitre.org/techniques/TT1207/
T1205,Traffic Signaling,交通信号,T1205.001,"Defense Evasion,                                                    Persistence,                                                    Command And Control",https://attack.mitre.org/techniques/TT1205/
T1204,User Execution,用户执行,"T1204.001,T1204.002",Execution,https://attack.mitre.org/techniques/TT1204/
T1202,Indirect Command Execution,间接命令执行,,Defense Evasion,https://attack.mitre.org/techniques/TT1202/
T1201,Password Policy Discovery,密码策略发现,,Discovery,https://attack.mitre.org/techniques/TT1201/
T1203,Exploitation for Client Execution,客户端执行的利用,,Execution,https://attack.mitre.org/techniques/TT1203/
T1218.001,Signed Binary Proxy Execution:?Compiled HTML File,签名二进制代理执行：？编译的HTML文件,T1218,Defense Evasion,https://attack.mitre.org/techniques/TT1218.001/
T1199,Trusted Relationship,信任关系,,Initial Access,https://attack.mitre.org/techniques/TT1199/
T1200,Hardware Additions,硬件添加,,Initial Access,https://attack.mitre.org/techniques/TT1200/
T1197,BITS Jobs,BITS作业,,"Defense Evasion,                                                    Persistence",https://attack.mitre.org/techniques/TT1197/
T1552.002,Unsecured Credentials:?Credentials in Registry,不安全的凭据：？注册表中的凭据,T1552,Credential Access,https://attack.mitre.org/techniques/TT1552.002/
T1195,Supply Chain Compromise,供应链折衷,"T1195.001,T1195.002,T1195.003,CAPEC-437,,CAPEC-438,,CAPEC-439",Initial Access,https://attack.mitre.org/techniques/TT1195/
T1547.006,Boot or Logon Autostart Execution:?Kernel Modules and Extensions,启动或登录自动启动执行：？内核模块和扩展,T1547,"Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547.006/
T1558.003,Steal or Forge Kerberos Tickets:?Kerberoasting,偷或伪造Kerberos票证：？煤焦烧成,T1558,Credential Access,https://attack.mitre.org/techniques/TT1558.003/
T1547.003,Boot or Logon Autostart Execution:?Time Providers,启动或登录自动启动执行：？时间提供者,T1547,"Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547.003/
T1548.003,Abuse Elevation Control Mechanism:?Sudo and Sudo Caching,滥用高程控制机制：？Sudo和Sudo缓存,T1548,"Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1548.003/
T1189,Drive-by Compromise,妥协驱动,,Initial Access,https://attack.mitre.org/techniques/TT1189/
T1190,Exploit Public-Facing Application,开发面向公众的应用程序,,Initial Access,https://attack.mitre.org/techniques/TT1190/
T1187,Forced Authentication,强制身份验证,,Credential Access,https://attack.mitre.org/techniques/TT1187/
T1185,Man in the Browser,浏览器中的人,,Collection,https://attack.mitre.org/techniques/TT1185/
T1218.002,Signed Binary Proxy Execution:?Control Panel,签名二进制代理执行：？控制面板,T1218,Defense Evasion,https://attack.mitre.org/techniques/TT1218.002/
T1553.003,Subvert Trust Controls:?SIP and Trust Provider Hijacking,颠覆信任控制：？SIP和信任提供者劫持,T1553,Defense Evasion,https://attack.mitre.org/techniques/TT1553.003/
T1218.003,Signed Binary Proxy Execution:?CMSTP,签名二进制代理执行：？CMSTP公司,T1218,Defense Evasion,https://attack.mitre.org/techniques/TT1218.003/
T1566.002,Phishing:?Spearphishing Link,钓鱼：？Spirphishing链接,"T1566,CAPEC-163",Initial Access,https://attack.mitre.org/techniques/TT1566.002/
